Generator,County,Load Zone,Online,Fuel,Prime Mover,Butler PPC Category,AURORA Fuel Category,Net Capacity MW,Average Heat Rate Btu per kWh,Fixed OM Charge USD per kWyr,Variable O&M Charge USD per MWh,Minimum Stable Level frac,Maximum Ramp Rate frac per min,Minimum Down Time HRS,Minimum Up Time HRS,Start Cost USD per MWstart,Minimum Time to Repair HRS,Mean Time to Repair HRS,Maximum Time to Repair HRS,Forced Outage Rate percent,Source
Logan's Gap Wind I U2,Comanche,North,2015,Wind,WT,,WND,106.3,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Lone Star Wind 1 (Mesquite),Shackelford,North,2006,Wind,WT,,WND,200.0,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Lone Star Wind 2 (Post Oak) U1,Shackelford,North,2007,Wind,WT,,WND,100.0,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Lone Star Wind 2 (Post Oak) U2,Shackelford,North,2007,Wind,WT,,WND,100.0,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Longhorn Wind North U1,Floyd,West,2015,Wind,WT,,WND,100.0,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Longhorn Wind North U2,Floyd,West,2015,Wind,WT,,WND,100.0,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Loraine Windpark I,Mitchell,West,2009,Wind,WT,,WND,49.5,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Loraine Windpark II,Mitchell,West,2009,Wind,WT,,WND,51.0,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Loraine Windpark III,Mitchell,West,2011,Wind,WT,,WND,25.5,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Loraine Windpark IV,Mitchell,West,2011,Wind,WT,,WND,24.0,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Los Vientos Wind III,Starr,South,2015,Wind,WT,,WND,200.0,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
McAdoo Wind Farm,Dickens,West,2008,Wind,WT,,WND,150.0,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Mesquite Creek Wind 1,Dawson,West,2015,Wind,WT,,WND,105.6,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Mesquite Creek Wind 2,Dawson,West,2015,Wind,WT,,WND,105.6,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Miami Wind G1,Gray,West,2014,Wind,WT,,WND,144.3,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Miami Wind G2,Gray,West,2014,Wind,WT,,WND,144.3,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Notrees Wind Farm 1,Winkler,West,2009,Wind,WT,,WND,92.6,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Notrees Wind Farm 2,Winkler,West,2009,Wind,WT,,WND,60.0,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Ocotillo Wind Farm,Howard,West,2008,Wind,WT,,WND,58.8,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Panhandle Wind 1 U1,Carson,West,2014,Wind,WT,,WND,109.2,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Panhandle Wind 1 U2,Carson,West,2014,Wind,WT,,WND,109.2,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Panhandle Wind 2 U1,Carson,West,2014,Wind,WT,,WND,94.2,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Panhandle Wind 2 U2,Carson,West,2014,Wind,WT,,WND,96.6,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Panther Creek 1,Howard,West,2008,Wind,WT,,WND,142.5,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Panther Creek 2,Howard,West,2008,Wind,WT,,WND,115.5,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Panther Creek 3,Howard,West,2009,Wind,WT,,WND,199.5,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Pecos Wind (Woodward 1),Pecos,West,2001,Wind,WT,,WND,82.5,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Pecos Wind (Woodward 2),Pecos,West,2001,Wind,WT,,WND,77.2,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Pyron Wind Farm,Scurry,West,2008,Wind,WT,,WND,249.0,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Rattlesnake Den Wind 1 G1,Glasscock,West,2015,Wind,WT,,WND,104.3,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Rattlesnake Den Wind 1 G2,Glasscock,West,2015,Wind,WT,,WND,103.0,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Red Canyon Wind,Borden,West,2006,Wind,WT,,WND,84.0,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Roscoe Wind Farm,Nolan,West,2008,Wind,WT,,WND,209.0,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Route 66 Wind,Carson,West,2015,Wind,WT,,WND,150.0,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Sand Bluff Wind Farm,Glasscock,West,2008,Wind,WT,,WND,90.0,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Senate Wind,Jack,North,2012,Wind,WT,,WND,150.0,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Shannon Wind,Clay,West,2015,Wind,WT,,WND,200.0,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Sherbino 1 Wind,Pecos,West,2008,Wind,WT,,WND,150.0,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Sherbino 2 Wind,Pecos,West,2011,Wind,WT,,WND,147.5,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Silver Star Wind,Eastland,North,2008,Wind,WT,,WND,60.0,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Snyder Wind Farm,Scurry,West,2007,Wind,WT,,WND,63.0,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
South Plains Wind 1,Floyd,West,2015,Wind,WT,,WND,102.0,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
South Plains Wind 2,Floyd,West,2015,Wind,WT,,WND,98.0,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
South Trent Wind Farm,Nolan,West,2008,Wind,WT,,WND,98.2,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Spinning Spur 3 Wind 1,Oldham,West,2015,Wind,WT,,WND,96.0,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Spinning Spur 3 Wind 2,Oldham,West,2015,Wind,WT,,WND,98.0,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Spinning Spur Wind Two,Oldham,West,2014,Wind,WT,,WND,161.0,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Stanton Wind Energy,Martin,West,2008,Wind,WT,,WND,120.0,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Stephens Ranch Wind 1,Borden,West,2014,Wind,WT,,WND,211.2,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Stephens Ranch Wind 2,Borden,West,2015,Wind,WT,,WND,165.0,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Sweetwater Wind 1,Nolan,West,2003,Wind,WT,,WND,36.6,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Sweetwater Wind 2A,Nolan,West,2006,Wind,WT,,WND,15.9,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Sweetwater Wind 2B,Nolan,West,2004,Wind,WT,,WND,97.5,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Sweetwater Wind 3A,Nolan,West,2011,Wind,WT,,WND,28.5,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Sweetwater Wind 3B,Nolan,West,2011,Wind,WT,,WND,100.5,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Sweetwater Wind 4-4A,Nolan,West,2007,Wind,WT,,WND,117.8,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Sweetwater Wind 4-4B,Nolan,West,2007,Wind,WT,,WND,103.7,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Sweetwater Wind 4-5,Nolan,West,2007,Wind,WT,,WND,79.2,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Texas Big Spring Wind A,Howard,West,1999,Wind,WT,,WND,27.7,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Texas Big Spring Wind B,Howard,West,1999,Wind,WT,,WND,6.6,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Trent Wind Farm,Nolan,West,2001,Wind,WT,,WND,150.0,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Trinity Hills Wind 1,Young,North,2012,Wind,WT,,WND,117.5,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Trinity Hills Wind 2,Young,North,2012,Wind,WT,,WND,107.5,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
TSTC West Texas Wind,Nolan,West,2008,Wind,WT,,WND,2.0,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Turkey Track Wind Energy Center,Nolan,West,2008,Wind,WT,,WND,169.5,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
West Texas Wind Energy,Upton,West,1999,Wind,WT,,WND,80.3,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Whirlwind Energy,Floyd,West,2007,Wind,WT,,WND,57.0,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Whitetail Wind Energy,Webb,South,2012,Wind,WT,,WND,91.0,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Windthorst 2,Archer,North,2014,Wind,WT,,WND,67.6,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
WKN Mozart Wind,Kent,West,2012,Wind,WT,,WND,30.0,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Wolf Flats Wind (Wind Mgt),Hall,West,2007,Wind,WT,,WND,1.0,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Wolf Ridge Wind,Cooke,North,2008,Wind,WT,,WND,112.5,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Cameron Wind,Cameron,South,2015,Wind-C,WT,,WND,165.0,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Gulf Wind I,Kenedy,South,2010,Wind-C,WT,,WND,141.6,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Gulf Wind II,Kenedy,South,2010,Wind-C,WT,,WND,141.6,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Harbor Wind,Nueces,South,2012,Wind-C,WT,,WND,9.0,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Los Vientos Wind I,Willacy,South,2013,Wind-C,WT,,WND,200.1,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Los Vientos Wind II,Willacy,South,2013,Wind-C,WT,,WND,201.6,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Magic Valley Wind (Redfish) 1A,Willacy,South,2012,Wind-C,WT,,WND,99.8,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Magic Valley Wind (Redfish) 1B,Willacy,South,2012,Wind-C,WT,,WND,103.5,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Papalote Creek Wind Farm,San Patricio,South,2009,Wind-C,WT,,WND,179.9,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Papalote Creek Wind Farm II,San Patricio,South,2010,Wind-C,WT,,WND,200.1,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Penascal Wind 1,Kenedy,South,2009,Wind-C,WT,,WND,160.8,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Penascal Wind 2,Kenedy,South,2009,Wind-C,WT,,WND,141.6,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Penascal Wind 3,Kenedy,South,2011,Wind-C,WT,,WND,100.8,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
